Route,Title,Root,Page Class,Navigation,Reachability,Role Access,Mockup / Design Status,Canonical Template,RMB Action
/admin/system-health,System Health,/admin,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,DashboardShell,Preserve approved mockup; reconcile only to RMB global shell.
/admin/users,Users & Roles,/admin,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,DashboardShell,Preserve approved mockup; reconcile only to RMB global shell.
/admin/workflow-test,Workflow Test,/admin,ITTT / Workflow Control,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,ITTTWorkflowShell,Preserve approved mockup; reconcile only to RMB global shell.
/approvals/action-centre,Action Centre,/approvals,ITTT / Workflow Control,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,ITTTWorkflowShell,Preserve approved mockup; reconcile only to RMB global shell.
/approvals,Approvals,/approvals,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,DashboardShell,Preserve approved mockup; reconcile only to RMB global shell.
/audit-centre,Audit,/audit-centre,Audit / Governance,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,AuditShell,Preserve approved mockup; reconcile only to RMB global shell.
/change-password,Change Password,/profile,Form,Rooted/Indirect,Search/Direct,Role-controlled,CANONICAL TEMPLATE REQUIRED,FormShell,Reconcile to canonical FormShell template; no independent dashboard-style redesign unless function requires it.
/dashboard/activity,Activity,/dashboard,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,CANONICAL TEMPLATE REQUIRED,DashboardShell,Reconcile to canonical DashboardShell template; no independent dashboard-style redesign unless function requires it.
/dashboard,Dashboard,/dashboard,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,DashboardShell,Preserve approved mockup; reconcile only to RMB global shell.
/docs,Help & Docs,/help,Utility / Information,Navbar,Search + Navigation,Role-controlled,CANONICAL TEMPLATE REQUIRED,UtilityShell,Reconcile to canonical UtilityShell template; no independent dashboard-style redesign unless function requires it.
/executive/analytics,Analytics,/executive,Report / Analytics,Navbar,Search + Navigation,Role-controlled,UNIQUE MOCKUP REQUIRED,ReportShell,"Study live functions/data contract, inventory contents, then design a dedicated RMB mockup before implementation."
/executive/audit,Audit,/executive,Audit / Governance,Navbar,Search + Navigation,Role-controlled,UNIQUE MOCKUP REQUIRED,AuditShell,"Study live functions/data contract, inventory contents, then design a dedicated RMB mockup before implementation."
/executive/calendar,Calendar,/executive,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,UNIQUE MOCKUP REQUIRED,DashboardShell,"Study live functions/data contract, inventory contents, then design a dedicated RMB mockup before implementation."
/executive/finance,Finance,/executive,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,UNIQUE MOCKUP REQUIRED,DashboardShell,"Study live functions/data contract, inventory contents, then design a dedicated RMB mockup before implementation."
/executive/hr,HR,/executive,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,UNIQUE MOCKUP REQUIRED,DashboardShell,"Study live functions/data contract, inventory contents, then design a dedicated RMB mockup before implementation."
/executive/meetings,Meetings,/executive,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,UNIQUE MOCKUP REQUIRED,DashboardShell,"Study live functions/data contract, inventory contents, then design a dedicated RMB mockup before implementation."
/executive/notifications,Notifications,/executive,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,UNIQUE MOCKUP REQUIRED,DashboardShell,"Study live functions/data contract, inventory contents, then design a dedicated RMB mockup before implementation."
/executive,Command Centre,/executive,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,UNIQUE MOCKUP REQUIRED,DashboardShell,"Study live functions/data contract, inventory contents, then design a dedicated RMB mockup before implementation."
/executive/registry,Registry,/executive,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,UNIQUE MOCKUP REQUIRED,DashboardShell,"Study live functions/data contract, inventory contents, then design a dedicated RMB mockup before implementation."
/executive/reports,Reports,/executive,Report / Analytics,Navbar,Search + Navigation,Role-controlled,UNIQUE MOCKUP REQUIRED,ReportShell,"Study live functions/data contract, inventory contents, then design a dedicated RMB mockup before implementation."
/executive/requests,Requests,/executive,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,UNIQUE MOCKUP REQUIRED,DashboardShell,"Study live functions/data contract, inventory contents, then design a dedicated RMB mockup before implementation."
/finance/account-ledger,Account Ledger,/finance,Register / Ledger,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,RegisterShell,Preserve approved mockup; reconcile only to RMB global shell.
/finance/account-transfers,Account Transfers,/finance,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,DashboardShell,Preserve approved mockup; reconcile only to RMB global shell.
/finance/accounts,Accounts Setup (Legacy),/finance,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,CONSOLIDATE / REDIRECT,DashboardShell,Consolidate duplicate legacy function into /finance/manage-accounts and preserve old URL as redirect.
/finance/activity-history,Finance Activity History,/finance,Register / Ledger,Navbar,Search + Navigation,Role-controlled,UNIQUE MOCKUP REQUIRED,RegisterShell,"Study live functions/data contract, inventory contents, then design a dedicated RMB mockup before implementation."
/finance/assign-account,Account Assignment,/finance,Sub-form / Transaction Form,Navbar,Search + Navigation,Role-controlled,CONSOLIDATE / REDIRECT,TransactionFormShell,Consolidate duplicate legacy function into /finance/manage-accounts/assign and preserve old URL as redirect.
/finance/audit,Finance Audit,/finance,Audit / Governance,Navbar,Search + Navigation,Role-controlled,UNIQUE MOCKUP REQUIRED,AuditShell,"Study live functions/data contract, inventory contents, then design a dedicated RMB mockup before implementation."
/finance/audit-trail,Finance Audit Trail,/finance,Audit / Governance,Navbar,Search + Navigation,Role-controlled,UNIQUE MOCKUP REQUIRED,AuditShell,"Study live functions/data contract, inventory contents, then design a dedicated RMB mockup before implementation."
/finance/departments,Finance Departments,/finance,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,DashboardShell,Preserve approved mockup; reconcile only to RMB global shell.
/finance/export-centre,Finance Export Centre,/finance,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,UNIQUE MOCKUP REQUIRED,DashboardShell,"Study live functions/data contract, inventory contents, then design a dedicated RMB mockup before implementation."
/finance/manage-accounts/assign,Assign Bank to Officer,/finance,Sub-form / Transaction Form,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,TransactionFormShell,Preserve approved mockup; reconcile only to RMB global shell.
/finance/manage-accounts,IET Bank Accounts,/finance,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,DashboardShell,Preserve approved mockup; reconcile only to RMB global shell.
/finance/manual-voucher,Manual Voucher,/finance,Sub-form / Transaction Form,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,TransactionFormShell,Preserve approved mockup; reconcile only to RMB global shell.
/finance,Finance,/finance,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,DashboardShell,Preserve approved mockup; reconcile only to RMB global shell.
/finance/print-centre,Finance Print Centre,/finance,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,UNIQUE MOCKUP REQUIRED,DashboardShell,"Study live functions/data contract, inventory contents, then design a dedicated RMB mockup before implementation."
/finance/reports/annual,Annual Reports,/finance,Report / Analytics,Navbar,Search + Navigation,Role-controlled,CANONICAL TEMPLATE REQUIRED,ReportShell,Reconcile to canonical ReportShell template; no independent dashboard-style redesign unless function requires it.
/finance/reports/monthly,Monthly Reports,/finance,Report / Analytics,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,ReportShell,Preserve approved mockup; reconcile only to RMB global shell.
/finance/reports,Finance Reports,/finance,Report / Analytics,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,ReportShell,Preserve approved mockup; reconcile only to RMB global shell.
/finance/reports/print,Print Report,/finance,Print View,Navbar,Search + Navigation,Role-controlled,CANONICAL TEMPLATE REQUIRED,PrintShell,Reconcile to canonical PrintShell template; no independent dashboard-style redesign unless function requires it.
/finance/request/[id],Finance Request,/finance,Detail Page,Rooted/Indirect,Direct/Redirect,Role-controlled,CANONICAL TEMPLATE REQUIRED,DetailShell,Reconcile to canonical DetailShell template; no independent dashboard-style redesign unless function requires it.
/finance/settings,Finance Settings,/finance,Settings / Configuration,Navbar,Search + Navigation,Role-controlled,UNIQUE MOCKUP REQUIRED,SettingsShell,"Study live functions/data contract, inventory contents, then design a dedicated RMB mockup before implementation."
/finance/subhead-ledger,Subhead Ledger,/finance,Register / Ledger,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,RegisterShell,Preserve approved mockup; reconcile only to RMB global shell.
/finance/subheads,Finance Subheads,/finance,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,DashboardShell,Preserve approved mockup; reconcile only to RMB global shell.
/finance/transactions,Finance Transactions,/finance,Register / Ledger,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,RegisterShell,Preserve approved mockup; reconcile only to RMB global shell.
/finance/vouchers,Finance Vouchers,/finance,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,DashboardShell,Preserve approved mockup; reconcile only to RMB global shell.
/forgot-password,Forgot Password,PUBLIC,Form,Public/Utility,Search/Direct,Public,CANONICAL TEMPLATE REQUIRED,FormShell,Reconcile to canonical FormShell template; no independent dashboard-style redesign unless function requires it.
/hr/analytics,Analytics,/hr,Redirect / Alias,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,RedirectOnly,Preserve approved mockup; reconcile only to RMB global shell.
/hr/archive,HR Archive,/hr,Register / Ledger,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,RegisterShell,Preserve approved mockup; reconcile only to RMB global shell.
/hr/assessments/annual-360,Annual 360,/hr,Redirect / Alias,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,RedirectOnly,Preserve approved mockup; reconcile only to RMB global shell.
/hr/assignments,Assignments,/hr,Sub-form / Transaction Form,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,TransactionFormShell,Preserve approved mockup; reconcile only to RMB global shell.
/hr/audit,HR Audit,/hr,Audit / Governance,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,AuditShell,Preserve approved mockup; reconcile only to RMB global shell.
/hr/capacity-building/departments,Departments,/hr,Redirect / Alias,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,RedirectOnly,Preserve approved mockup; reconcile only to RMB global shell.
/hr/capacity-building/staff,Staff,/hr,Redirect / Alias,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,RedirectOnly,Preserve approved mockup; reconcile only to RMB global shell.
/hr/compliance,Compliance,/hr,Redirect / Alias,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,RedirectOnly,Preserve approved mockup; reconcile only to RMB global shell.
/hr/department-kpi,Department Kpi,/hr,Redirect / Alias,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,RedirectOnly,Preserve approved mockup; reconcile only to RMB global shell.
/hr/filing,HR Filing,/hr,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,DashboardShell,Preserve approved mockup; reconcile only to RMB global shell.
/hr/leave,Leave Operations Centre,/hr,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,DashboardShell,Preserve approved mockup; reconcile only to RMB global shell.
/hr/my-work,My HR Work,/hr,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,DashboardShell,Preserve approved mockup; reconcile only to RMB global shell.
/hr/officer-performance,Officer Performance,/hr,Redirect / Alias,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,RedirectOnly,Preserve approved mockup; reconcile only to RMB global shell.
/hr/output,Output,/hr,Redirect / Alias,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,RedirectOnly,Preserve approved mockup; reconcile only to RMB global shell.
/hr,HR,/hr,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,DashboardShell,Preserve approved mockup; reconcile only to RMB global shell.
/hr/registrar/analytics,Analytics,/hr,Report / Analytics,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,ReportShell,Preserve approved mockup; reconcile only to RMB global shell.
/hr/registrar/assessments/annual-360,Annual 360,/hr,Operational Workspace,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,WorkspaceShell,Preserve approved mockup; reconcile only to RMB global shell.
/hr/registrar/capacity-building/departments,Department Training,/hr,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,DashboardShell,Preserve approved mockup; reconcile only to RMB global shell.
/hr/registrar/capacity-building/staff,Staff Capacity Building,/hr,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,DashboardShell,Preserve approved mockup; reconcile only to RMB global shell.
/hr/registrar/compliance,Compliance,/hr,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,DashboardShell,Preserve approved mockup; reconcile only to RMB global shell.
/hr/registrar/department-kpi,Department KPI,/hr,Report / Analytics,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,ReportShell,Preserve approved mockup; reconcile only to RMB global shell.
/hr/registrar/officer-performance,Officer Performance,/hr,Report / Analytics,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,ReportShell,Preserve approved mockup; reconcile only to RMB global shell.
/hr/registrar/output,Output,/hr,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,DashboardShell,Preserve approved mockup; reconcile only to RMB global shell.
/hr/registrar,Registrar,/hr,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,DashboardShell,Preserve approved mockup; reconcile only to RMB global shell.
/hr/registrar/reports,Reports,/hr,Report / Analytics,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,ReportShell,Preserve approved mockup; reconcile only to RMB global shell.
/hr/registrar/settings,Settings,/hr,Settings / Configuration,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,SettingsShell,Preserve approved mockup; reconcile only to RMB global shell.
/hr/registrar/weekly-seminar,Weekly Seminar,/hr,Operational Workspace,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,WorkspaceShell,Preserve approved mockup; reconcile only to RMB global shell.
/hr/reports,Reports,/hr,Redirect / Alias,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,RedirectOnly,Preserve approved mockup; reconcile only to RMB global shell.
/hr/review,HR Review,/hr,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,DashboardShell,Preserve approved mockup; reconcile only to RMB global shell.
/hr/settings,Settings,/hr,Redirect / Alias,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,RedirectOnly,Preserve approved mockup; reconcile only to RMB global shell.
/hr/staff,Staff Records,/hr,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,DashboardShell,Preserve approved mockup; reconcile only to RMB global shell.
/hr/weekly-seminar,Weekly Seminar,/hr,Redirect / Alias,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,RedirectOnly,Preserve approved mockup; reconcile only to RMB global shell.
/login,Login,PUBLIC,Form,Public/Utility,Search/Direct,Public,CANONICAL TEMPLATE REQUIRED,FormShell,Reconcile to canonical FormShell template; no independent dashboard-style redesign unless function requires it.
/mfa,Mfa,PUBLIC,Root Page / Dashboard,Public/Utility,Search/Direct,Public,CANONICAL TEMPLATE REQUIRED,DashboardShell,Reconcile to canonical DashboardShell template; no independent dashboard-style redesign unless function requires it.
/mfa/setup,Setup,PUBLIC,Form,Public/Utility,Search/Direct,Public,CANONICAL TEMPLATE REQUIRED,FormShell,Reconcile to canonical FormShell template; no independent dashboard-style redesign unless function requires it.
/output,Output Centre,/reports,Utility / Information,Navbar,Search + Navigation,Role-controlled,CANONICAL TEMPLATE REQUIRED,UtilityShell,Reconcile to canonical UtilityShell template; no independent dashboard-style redesign unless function requires it.
/,ReqGen,PUBLIC,Utility / Information,Public/Utility,Direct/Redirect,Public,CANONICAL TEMPLATE REQUIRED,UtilityShell,Reconcile to canonical UtilityShell template; no independent dashboard-style redesign unless function requires it.
/payment-vouchers/[id],Payment Voucher Details,/payment-vouchers,Detail Page,Rooted/Indirect,Direct/Redirect,Role-controlled,MOCKUP LOCKED,DetailShell,Preserve approved mockup; reconcile only to RMB global shell.
/payment-vouchers/[id]/print,Voucher Print,/payment-vouchers,Print View,Rooted/Indirect,Direct/Redirect,Role-controlled,MOCKUP LOCKED,PrintShell,Preserve approved mockup; reconcile only to RMB global shell.
/payment-vouchers/approved,Approved,/payment-vouchers,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,CANONICAL TEMPLATE REQUIRED,DashboardShell,Reconcile to canonical DashboardShell template; no independent dashboard-style redesign unless function requires it.
/payment-vouchers/history,History,/payment-vouchers,Register / Ledger,Navbar,Search + Navigation,Role-controlled,CANONICAL TEMPLATE REQUIRED,RegisterShell,Reconcile to canonical RegisterShell template; no independent dashboard-style redesign unless function requires it.
/payment-vouchers/new,Create Voucher,/payment-vouchers,Sub-form / Transaction Form,Navbar,Search + Navigation,Role-controlled,CANONICAL TEMPLATE REQUIRED,TransactionFormShell,Reconcile to canonical TransactionFormShell template; no independent dashboard-style redesign unless function requires it.
/payment-vouchers,Payment Vouchers,/payment-vouchers,Operational Workspace,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,WorkspaceShell,Preserve approved mockup; reconcile only to RMB global shell.
/payment-vouchers/pending,Pending,/payment-vouchers,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,CANONICAL TEMPLATE REQUIRED,DashboardShell,Reconcile to canonical DashboardShell template; no independent dashboard-style redesign unless function requires it.
/payment-vouchers/print-centre,Print Centre,/payment-vouchers,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,CANONICAL TEMPLATE REQUIRED,DashboardShell,Reconcile to canonical DashboardShell template; no independent dashboard-style redesign unless function requires it.
/payment-vouchers/reports,Voucher Reports,/payment-vouchers,Redirect / Alias,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,RedirectOnly,Preserve approved mockup; reconcile only to RMB global shell.
/payment-vouchers/settings,Payment Voucher Settings,/payment-vouchers,Settings / Configuration,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,SettingsShell,Preserve approved mockup; reconcile only to RMB global shell.
/profile/access,Access,/profile,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,CANONICAL TEMPLATE REQUIRED,DashboardShell,Reconcile to canonical DashboardShell template; no independent dashboard-style redesign unless function requires it.
/profile/activity,Activity,/profile,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,CANONICAL TEMPLATE REQUIRED,DashboardShell,Reconcile to canonical DashboardShell template; no independent dashboard-style redesign unless function requires it.
/profile,Profile,/profile,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,CANONICAL TEMPLATE REQUIRED,DashboardShell,Reconcile to canonical DashboardShell template; no independent dashboard-style redesign unless function requires it.
/profile/security,Security,/profile,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,CANONICAL TEMPLATE REQUIRED,DashboardShell,Reconcile to canonical DashboardShell template; no independent dashboard-style redesign unless function requires it.
/registry/archive,Archive,/registry,Register / Ledger,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,RegisterShell,Preserve approved mockup; reconcile only to RMB global shell.
/registry/dispatch,Dispatch,/registry,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,DashboardShell,Preserve approved mockup; reconcile only to RMB global shell.
/registry/incoming,Incoming Register,/registry,Register / Ledger,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,RegisterShell,Preserve approved mockup; reconcile only to RMB global shell.
/registry/operations,Registry Operations,/registry,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,DashboardShell,Preserve approved mockup; reconcile only to RMB global shell.
/registry/outgoing,Outgoing Register,/registry,Register / Ledger,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,RegisterShell,Preserve approved mockup; reconcile only to RMB global shell.
/registry,Registry,/registry,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,DashboardShell,Preserve approved mockup; reconcile only to RMB global shell.
/reports/enterprise-analytics,Analytics,/reports,Report / Analytics,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,ReportShell,Preserve approved mockup; reconcile only to RMB global shell.
/reports,Reports,/reports,Report / Analytics,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,ReportShell,Preserve approved mockup; reconcile only to RMB global shell.
/requests/[id]/edit,Edit Request,/requests,Sub-form / Transaction Form,Rooted/Indirect,Direct/Redirect,Role-controlled,CANONICAL TEMPLATE REQUIRED,TransactionFormShell,Reconcile to canonical TransactionFormShell template; no independent dashboard-style redesign unless function requires it.
/requests/[id],Details,/requests,Detail Page,Rooted/Indirect,Direct/Redirect,Role-controlled,CANONICAL TEMPLATE REQUIRED,DetailShell,Reconcile to canonical DetailShell template; no independent dashboard-style redesign unless function requires it.
/requests/[id]/print,Request Print,/requests,Print View,Rooted/Indirect,Direct/Redirect,Role-controlled,CANONICAL TEMPLATE REQUIRED,PrintShell,Reconcile to canonical PrintShell template; no independent dashboard-style redesign unless function requires it.
/requests/new,Create Request,/requests,Sub-form / Transaction Form,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,TransactionFormShell,Preserve approved mockup; reconcile only to RMB global shell.
/requests,Requests,/requests,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,DashboardShell,Preserve approved mockup; reconcile only to RMB global shell.
/reset-password,Reset Password,PUBLIC,Form,Public/Utility,Search/Direct,Public,CANONICAL TEMPLATE REQUIRED,FormShell,Reconcile to canonical FormShell template; no independent dashboard-style redesign unless function requires it.
/signup,Signup,PUBLIC,Form,Public/Utility,Search/Direct,Public,CANONICAL TEMPLATE REQUIRED,FormShell,Reconcile to canonical FormShell template; no independent dashboard-style redesign unless function requires it.
/staff/attendance,My Attendance,/staff,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,DashboardShell,Preserve approved mockup; reconcile only to RMB global shell.
/staff/downloads,My Downloads,/staff,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,DashboardShell,Preserve approved mockup; reconcile only to RMB global shell.
/staff/leave/new,New Leave Application,/staff,Sub-form / Transaction Form,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,TransactionFormShell,Preserve approved mockup; reconcile only to RMB global shell.
/staff/leave,My Leave,/staff,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,DashboardShell,Preserve approved mockup; reconcile only to RMB global shell.
/staff/notifications,My Notifications,/staff,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,DashboardShell,Preserve approved mockup; reconcile only to RMB global shell.
/staff,Staff,/staff,Operational Workspace,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,WorkspaceShell,Preserve approved mockup; reconcile only to RMB global shell.
/staff/performance,My Performance,/staff,Report / Analytics,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,ReportShell,Preserve approved mockup; reconcile only to RMB global shell.
/staff/profile,My Profile,/staff,Redirect / Alias,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,RedirectOnly,Preserve approved mockup; reconcile only to RMB global shell.
/staff/requests,My Requests,/staff,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,DashboardShell,Preserve approved mockup; reconcile only to RMB global shell.
/staff/training,My Training,/staff,Root Page / Dashboard,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,DashboardShell,Preserve approved mockup; reconcile only to RMB global shell.
/test-supabase,System Health,/admin,Utility / Information,Rooted/Indirect,Direct/Redirect,Role-controlled,RETIRE / REDIRECT,UtilityShell,Remove as production destination; redirect to /admin/system-health.
/unauthorized,Access Restricted,PUBLIC,Utility / Information,Public/Utility,Search/Direct,Public,CANONICAL TEMPLATE REQUIRED,UtilityShell,Reconcile to canonical UtilityShell template; no independent dashboard-style redesign unless function requires it.
/workflow,Workflow,/workflow,ITTT / Workflow Control,Navbar,Search + Navigation,Role-controlled,MOCKUP LOCKED,ITTTWorkflowShell,Preserve approved mockup; reconcile only to RMB global shell.
